id,Domain,Status,Attractiveness,Demand,Length,Registrar,Created,Expires
28cfa8f2-aaa9-4c3e-9b5d-33d3f6f63185,legal.app,resell,64,96,5,"Montenegro Domains, LLC",05/05/2018 16:00,05/05/2026 16:00
6d574c3e-1ec7-4c99-b12f-719cd79fc07a,legal.at,sold,64,96,5,Vautron Rechenzentrum AG ( https://nic.at/registrar/610 ),,
de6ed6b6-b6c8-4ebf-a528-7b696746de1d,legal.cloud,available,64,96,5,,,
0289b262-e2c5-4cd6-b06e-388b61274889,legal.online,available,64,96,5,,,
0c96db15-e7be-4177-87e3-7ca5e2105046,legal.pro,available,64,96,5,,,
88cf003c-4880-4066-b0c7-327ac539820d,legal.site,available,64,96,5,,,
ed84d6d1-d858-42fa-81bb-d16b62dd0761,legal.space,available,64,96,5,,,
951dd080-964d-4467-8f43-ae6161df68e5,legal.store,available,64,96,5,,,
32e86b05-a05b-47c5-b375-afad8149c8ac,legal.tech,available,64,96,5,,,
7532ba7d-81ea-4ad5-9a01-e472f02a85d1,litigation.app,available,54,88,10,,,
a65301ab-ba18-41c3-acaf-8e9a0b0c44ac,litigation.com,resell,54,88,10,"NameCheap, Inc.",20/05/1997 04:00,21/05/2026 04:00
6db01e3c-79cb-4a23-9a46-eac268bf6b97,litigation.dev,available,54,88,10,,,
ca06b621-c70c-412b-bbb2-0eb5a5d7fd98,litigation.expert,available,54,88,10,,,
f0a7fb75-e2ac-4d88-bfbe-7a3bcf3e1a94,litigation.it,resell,54,88,10,,19/11/2012 01:17,06/12/2025 00:00
3fc4050e-1bde-45e8-ac42-ad6259c0c101,litigation.me,expiring,54,88,10,Porkbun LLC,09/07/2008 17:05,09/07/2025 17:05
9b78b00d-a8fc-4af6-a534-f74cf840ff1e,litigation.ninja,available,54,88,10,,,
8683dccc-9763-48aa-a2c9-ebf66f9e4092,litigation.pro,resell,54,88,10,Registrar of Domain Names REG.RU LLC,21/02/2020 15:57,21/02/2026 15:57
8415324a-54bd-493e-9fc3-d18ca085fef5,litigation.site,expiring,54,88,10,IONOS SE,29/07/2018 04:00,29/07/2025 23:59
dd0d7fc1-ec8d-4e5f-8850-489d5a225678,litigation.so,available,54,88,10,,,
c351d846-24c3-4467-9791-3aba093c6ac4,litigation.space,expiring,54,88,10,"Global Domains International, Inc.",29/07/2018 04:01,29/07/2025 23:59
f2e900a5-141d-4b92-90a4-7e188ac18849,litigation.xyz,resell,54,88,10,Dynadot LLC,26/11/2015 08:41,26/11/2027 23:59
9f16417b-277e-4936-b3b1-96f7e2510508,litigation.zone,available,54,88,10,,,
d6a7e733-8015-43b1-9806-80bfc860b2af,arbitration.app,available,54,80,11,,,
b4f06f1e-bf6d-485d-b05c-597613531076,arbitration.at,available,54,80,11,,,
3461d74f-d9b6-4514-9234-55707bc85340,arbitration.cloud,expired,54,80,11,"Chengdu West Dimension Digital Technology Co., LTD",31/05/2024 23:13,31/05/2025 23:13
31eb9e82-21f6-4767-94d6-e03c43efe92e,arbitration.co,expiring,54,80,11,IONOS SE,20/07/2010 18:04,19/07/2025 23:59
b77af4b9-31ed-48f7-ba11-2f7946170321,arbitration.com,resell,54,80,11,"Sav.com, LLC",05/02/1995 05:00,11/10/2025 11:59
10648e00-7ffe-4c33-94b2-23805768d888,arbitration.gg,available,54,80,11,,,
6d871d60-2610-4830-9b0a-de51a66ba2f8,arbitration.me,expiring,54,80,11,"Name.com, Inc.",19/07/2008 02:25,19/07/2025 02:25
92c733ea-a140-4d18-bc50-334b5d38bce8,arbitration.ninja,available,54,80,11,,,
01db159f-8519-4ae5-8da9-ecf573f96c57,arbitration.site,expiring,54,80,11,"HOSTINGER operations, UAB",31/07/2024 14:05,31/07/2025 23:59
4e127d3e-f6d2-4130-91da-5e7eb90e3e1d,arbitration.so,available,54,80,11,,,
3eff1de1-3183-41b4-ae18-4354c0d22538,arbitration.store,available,54,80,11,,,
0d67b2f2-4f20-4bed-add7-9807f4f6bac2,arbitration.zone,available,54,80,11,,,
88705917-6333-4265-9398-74772f6e397a,negotiation.cloud,available,,84,11,,,
12beeadc-9ba6-4fd0-b874-7cfc8e23b0ba,negotiation.co,expiring,,84,11,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",21/07/2010 20:54,20/07/2025 23:59
56cd9373-0235-4dd3-87b8-ef15676905ca,negotiation.dev,available,,84,11,,,
d042e0bc-a407-4f8a-88c8-bf75841dd5b4,negotiation.gg,available,,84,11,,,
23be379f-57b6-44f3-9c46-7caff2ad025c,negotiation.it,resell,,84,11,,07/10/2020 16:00,20/10/2025 00:00
f545c405-3ec9-4bc2-ac37-646b16439ce3,negotiation.net,resell,,84,11,"Inames Co., Ltd.",14/01/2010 19:15,14/01/2026 19:15
219cc8e9-67c1-4d16-b47b-ebc25957ec93,negotiation.ninja,resell,,84,11,"NameCheap, Inc.",01/06/2024 16:50,01/06/2026 16:50
7ab353e7-ffe9-4776-bca6-637c4cd2aac1,negotiation.org,resell,,84,11,"NameCheap, Inc.",26/09/2004 18:52,26/09/2026 18:52
f15e2992-d48a-4fc0-882a-bf7901576c3f,negotiation.pro,expiring,,84,11,Epik LLC,08/07/2022 19:25,08/07/2025 19:25
8b635b44-9feb-4846-afdb-30791c7fe644,negotiation.so,available,,84,11,,,
46f48d71-e4fd-44ae-9bea-7bb81252e9ab,negotiation.space,expired,,84,11,"CHENGDU WEST DIMENSION DIGITAL TECHNOLOGY CO., LTD.",26/05/2024 15:32,26/05/2025 23:59
96dc863d-3dc8-4282-b1c6-e32008d8a6c7,disputeresolution.app,available,54,40,18,,,
70dd5cb6-1c62-4867-90f0-32141ffcd49f,disputeresolution.cloud,available,54,40,18,,,
6400aeb6-7e1c-4c83-bd93-feb13db4b994,disputeresolution.com,expiring,54,40,18,"GoDaddy.com, LLC",14/07/1997 04:00,13/07/2025 04:00
1b486668-4613-4ec6-ba19-eac04393e2c7,disputeresolution.dev,available,54,40,18,,,
c88e6979-c04d-47c6-89dc-39595decfe97,disputeresolution.expert,available,54,40,18,,,
191af6c6-2538-4126-abd1-e82763974edb,disputeresolution.gg,available,54,40,18,,,
b4daf1b5-33ce-4a35-86af-f068594c1027,disputeresolution.it,resell,54,40,18,,24/11/2010 21:31,08/12/2025 00:00
e54f5a33-952f-4ef9-8d59-8a2d1d29324e,disputeresolution.me,expiring,54,40,18,"GoDaddy.com, LLC",12/07/2022 21:29,12/07/2025 21:29
efba4dfe-834e-4259-8ed0-d95a92b3d90c,disputeresolution.ninja,available,54,40,18,,,
4fac8641-fb94-4883-8c18-cd584abc5c18,disputeresolution.site,available,54,40,18,,,
df946c2a-6fe3-408e-93b8-b1d0478f1085,disputeresolution.so,available,54,40,18,,,
d43090eb-8914-4f63-8030-4fb1e19c8180,disputeresolution.space,available,54,40,18,,,
2954bed9-a507-432c-9ae6-626b61e40f07,disputeresolution.store,available,54,40,18,,,
